team1,team2,winner,margin,ground,match_id,date,stage
Namibia,Sri Lanka,Namibia,55 runs,Geelong,T20I # 1823,2022-10-16,Qualifier
Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,T20I # 1825,2022-10-16,Qualifier
Scotland,West Indies,Scotland,42 runs,Hobart,T20I # 1826,2022-10-17,Qualifier
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,T20I # 1828,2022-10-17,Qualifier
Namibia,Netherlands,Netherlands,5 wickets,Geelong,T20I # 1830,2022-10-18,Qualifier
Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,T20I # 1832,2022-10-18,Qualifier
Ireland,Scotland,Ireland,6 wickets,Hobart,T20I # 1833,2022-10-19,Qualifier
West Indies,Zimbabwe,West Indies,31 runs,Hobart,T20I # 1834,2022-10-19,Qualifier
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,T20I # 1835,2022-10-20,Qualifier
Namibia,U.A.E.,U.A.E.,7 runs,Geelong,T20I # 1836,2022-10-20,Qualifier
Ireland,West Indies,Ireland,9 wickets,Hobart,T20I # 1837,2022-10-21,Qualifier
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,T20I # 1838,2022-10-21,Qualifier
Australia,New Zealand,New Zealand,89 runs,Sydney,T20I # 1839,2022-10-22,Super 12
Afghanistan,England,England,5 wickets,Perth,T20I # 1840,2022-10-22,Super 12
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,T20I # 1841,2022-10-23,Super 12
India,Pakistan,India,4 wickets,Melbourne,T20I # 1842,2022-10-23,Super 12
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,T20I # 1843,2022-10-24,Super 12
South Africa,Zimbabwe,no result,-,Hobart,T20I # 1844,2022-10-24,Super 12
Australia,Sri Lanka,Australia,7 wickets,Perth,T20I # 1845,2022-10-25,Super 12
England,Ireland,Ireland,5 runs,Melbourne,T20I # 1846,2022-10-26,Super 12
Bangladesh,South Africa,South Africa,104 runs,Sydney,T20I # 1847,2022-10-27,Super 12
India,Netherlands,India,56 runs,Sydney,T20I # 1848,2022-10-27,Super 12
Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,T20I # 1849,2022-10-27,Super 12
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,T20I # 1850,2022-10-29,Super 12
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,T20I # 1851,2022-10-30,Super 12
Netherlands,Pakistan,Pakistan,6 wickets,Perth,T20I # 1852,2022-10-30,Super 12
India,South Africa,South Africa,5 wickets,Perth,T20I # 1853,2022-10-30,Super 12
Australia,Ireland,Australia,42 runs,Brisbane,T20I # 1855,2022-10-31,Super 12
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,T20I # 1856,2022-11-01,Super 12
England,New Zealand,England,20 runs,Brisbane,T20I # 1858,2022-11-01,Super 12
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,T20I # 1859,2022-11-02,Super 12
Bangladesh,India,India,5 runs,Adelaide,T20I # 1860,2022-11-02,Super 12
Pakistan,South Africa,Pakistan,33 runs,Sydney,T20I # 1861,2022-11-03,Super 12
Ireland,New Zealand,New Zealand,35 runs,Adelaide,T20I # 1862,2022-11-04,Super 12
Australia,Afghanistan,Australia,4 runs,Adelaide,T20I # 1864,2022-11-04,Super 12
England,Sri Lanka,England,4 wickets,Sydney,T20I # 1867,2022-11-05,Super 12
Netherlands,South Africa,Netherlands,13 runs,Adelaide,T20I # 1871,2022-11-06,Super 12
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,T20I # 1872,2022-11-06,Super 12
India,Zimbabwe,India,71 runs,Melbourne,T20I # 1873,2022-11-06,Super 12
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,T20I # 1877,2022-11-09,Super 12
England,India,England,10 wickets,Adelaide,T20I # 1878,2022-11-10,Super 12
England,Pakistan,England,5 wickets,Melbourne,T20I # 1879,2022-11-13,Super 12
